Capacity Cal,
Time (s),Intensity (a.u.)
158.9000092,0.15607442
159.1000061,0.084269956
159.3000031,0.010453144
159.5,0.193658203
159.6999969,0.10400632
159.9000092,0.03165058
160.1000061,0.1761439
160.3000031,0.084629215
160.5,0.010233739
160.6999969,0.092209339
160.9000092,0.19106251
161.1000061,-0.010239922
161.3000031,0.200481147
161.5,0.106077164
161.6999969,0.094269462
161.9000092,0.093936898
162.1000061,0.094716907
162.3000031,0.22676672
162.5,0.094538808
162.6999969,0.103721529
162.9000092,0.128306568
163.1000061,0.080371313
163.3000031,0.147729188
163.5,0.165672645
163.6999969,0.145038649
163.9000092,0.176047221
164.1000061,0.165878743
164.3000031,0.164554879
164.5,0.127712563
164.6999969,0.052722596
164.9000092,0.052222595
165.1000061,0.199741393
165.3000031,0.200046331
165.5,0.122996196
165.6999969,0.168756783
165.9000092,0
166.1000061,0.10343615
166.3000031,0.168035463
166.5,0.115174808
166.6999969,0.042585358
166.9000092,0.01045074
167.1000061,0.105321914
167.3000031,0.211546198
167.5,0.210022256
167.6999969,0.093407504
167.9000092,0.137098998
168.1000061,0.195835903
168.3000031,0.10178221
168.5,0.133290961
168.6999969,0.112194523
168.9000092,0.084294818
169.1000061,0.081955455
169.3000031,0.150240392
169.5,0.171808392
169.6999969,0.218000621
169.9000092,0.167110562
170.1000061,0.191357046
170.3000031,0.135225102
170.5,0.145035639
170.6999969,0.15310654
170.9000092,0.09332034
