Proton Cal,
Time (s),Intensity (a.u.)
143.9000092,0.118431963
144.1000061,0.144712225
144.3000031,0.11894732
144.5,0.070870288
144.6999969,0.172440231
144.9000092,0.163707092
145.1000061,0.06898319
145.3000031,0.101444572
145.5,0.187478423
145.6999969,0.197384656
145.9000092,0.078960098
146.1000061,0.172016025
146.3000031,0.079571113
146.5,0.047193408
146.6999969,0.243590519
146.9000092,0.188133702
147.1000061,0.336503714
147.3000031,0.100831866
147.5,19.56386948
147.6999969,66.49450684
147.9000092,101.9625854
148.1000061,102.0410233
148.3000031,100.5904846
148.5,100.949173
148.6999969,101.2229996
148.9000092,101.3858261
149.1000061,100.4070206
149.3000031,100.2808685
149.5,100.8397522
149.6999969,100.2065506
149.9000092,102.0489578
150.1000061,100.5745773
150.3000031,102.3462753
150.5,101.0826187
150.6999969,100.7586975
150.9000092,100.852562
151.1000061,99.19068146
151.3000031,99.35949707
151.5,99.71487427
151.6999969,100.5679779
151.9000092,101.3722458
152.1000061,101.955307
152.3000031,101.3780594
152.5,100.4285049
152.6999969,101.3228989
152.9000092,100.2729797
153.1000061,100.7166672
153.3000031,100.8820801
153.5,101.9993362
153.6999969,101.245842
153.9000092,100.5690536
154.1000061,101.299408
154.3000031,101.3163986
154.5,100.4823303
154.6999969,100.5014648
154.9000092,101.2712631
155.1000061,101.0628891
155.3000031,100.8430481
155.5,100.4374466
155.6999969,100.3279724
155.9000092,100.3192978
156.1000061,100.45224
156.3000031,99.52578735
156.5,101.0250168
156.6999969,99.79144287
156.9000092,100.104744
157.1000061,100.5591507
157.3000031,101.3487854
157.5,100.7743073
157.6999969,100.6382294
157.9000092,99.16339874
158.1000061,99.95069122
158.3000031,100.3081055
158.5,100.4256897
158.6999969,100.0578003
158.9000092,99.30745697
159.1000061,100.4132919
159.3000031,100.8593597
159.5,99.21973419
159.6999969,100.195816
159.9000092,101.1383896
160.1000061,101.8768539
160.3000031,102.3116379
160.5,100.5977783
160.6999969,100.7821655
160.9000092,100.8906708
161.1000061,101.0460281
161.3000031,99.96337128
161.5,100.7590332
161.6999969,100.3244705
161.9000092,100.3139038
162.1000061,100.6065979
162.3000031,100.8903732
162.5,100.2591248
162.6999969,99.41992188
162.9000092,100.416275
163.1000061,100.2096176
163.3000031,100.3371658
163.5,100.8944473
163.6999969,100.656929
163.9000092,100.4202347
164.1000061,100.675293
164.3000031,101.1250534
